rank,source,width,height,selector,palette_bank,refs,selected_index,selected_rgb555,entries,override_index,notes,location,exempt,flatten
0,0x67680,128,112,0x00A0,0x05A0,545,3,0x3DEF,"{""0"":544,""1"":1}",,,,,
1,0x56B40,64,80,0x00B0,0x05B0,792,8,0x0926,"{""0"":739,""1"":47,""2"":6}",,,,,
2,0x60540,128,128,0x0110,0x0610,192,1,0x2440,"{""0"":180,""1"":12}",,,,,
3,0x5B340,128,56,0x0070,,365,8,0x0083,"{""0"":255,""1"":81,""2"":29}",,,,,
4,0x6B580,128,48,0x0090,,317,E,0x56F7,"{""0"":261,""1"":55,""2"":1}",,,,,
5,0x58D40,128,48,0x0080,0x0580,274,D,0x4294,"{""0"":243,""1"":31}",,,,,
6,0x59940,128,48,0x0080,0x0580,268,8,0x2DEF,"{""0"":229,""1"":37,""2"":2}",,,,,
7,0x57540,128,48,0x0080,0x0580,204,D,0x4294,"{""0"":185,""1"":19}",,,,,
8,0x5F140,128,80,0x0150,0x0650,110,1,0x0042,"{""0"":68,""1"":34,""2"":8}",,,,,
9,0x62700,64,24,0x00C0,0x05C0,705,7,0x112A,"{""0"":630,""1"":67,""2"":8}",,,,,
10,0x6D180,32,128,0x0070,,219,1,0x0021,"{""0"":109,""1"":109,""2"":1}",,,,,
11,0x6A380,64,64,0x00C0,,201,6,0x0D09,"{""0"":188,""1"":13}",,,,,
12,0x6AB80,128,40,0x0040,,152,9,0x00A3,"{""0"":127,""1"":24,""2"":1}",,,,,
13,0x477A0,32,24,0x00F0,0x05F0,737,3,0x0C63,"{""0"":627,""1"":103,""2"":7}",,,,,
14,0x72A20,128,28,0x0070,,151,4,0x0021,"{""1"":73,""2"":78}",,,,,
15,0x6C980,32,128,0x0070,,125,1,0x0021,"{""0"":62,""1"":62,""2"":1}",,,,,
16,0x79F20,128,64,0x0110,0x0610,60,1,0x2440,"{""1"":54,""2"":6}",,,,,
17,0x7CC60,128,24,0x0090,,154,F,0x5F39,"{""1"":103,""2"":51}",,,,,
18,0x58140,128,48,0x0160,0x0660,70,4,0x41E5,"{""0"":70}",,,,,
19,0x55B40,64,64,0x0100,0x0600,93,B,0x3A95,"{""0"":70,""1"":15,""2"":8}",,,,,
20,0x5CF40,128,64,0x0130,0x0630,43,1,0x2907,"{""0"":24,""1"":12,""2"":7}",,,,,
21,0x5DF40,96,96,0x0150,0x0650,36,4,0x1508,"{""0"":24,""1"":12}",,,,,
22,0x7DE60,128,40,0x00E0,0x05E0,60,C,0x2949,"{""2"":60}",,,,,
23,0x79520,128,40,0x00E0,0x05E0,59,9,0x1CE6,"{""1"":59}",,,,,
24,0x73120,128,40,0x00E0,0x05E0,58,C,0x2949,"{""1"":58}",,,,,
25,0x73B20,128,40,0x00E0,0x05E0,57,9,0x1CE6,"{""1"":57}",,,,,
26,0x74520,128,40,0x00E0,0x05E0,57,C,0x2949,"{""1"":57}",,,,,
27,0x66880,128,56,0x00E0,0x05E0,39,8,0x18C5,"{""0"":36,""1"":2,""2"":1}",,,,,
28,0x69F00,96,24,0x0000,,114,E,0x56B5,"{""0"":63,""1"":45,""2"":6}",,,,,
29,0x54F20,128,24,0x0030,0x0530,83,8,0x50C0,"{""0"":41,""1"":36,""2"":6}",,,,,
30,0x47920,32,32,0x00D0,,245,F,0x637B,"{""0"":245}",,,,,
31,0x48120,32,32,0x00D0,,245,5,0x40E5,"{""0"":245}",,,,,
32,0x54620,96,24,0x00F0,0x05F0,94,B,0x4E73,"{""0"":47,""1"":39,""2"":8}",,,,,
33,0x70C80,32,24,0x00F0,0x05F0,278,3,0x0C63,"{""1"":189,""2"":89}",,,,,
34,0x7C660,128,24,0x0040,,68,A,0x0082,"{""1"":48,""2"":20}",,,,,
35,0x71A20,80,24,0x0080,0x0580,105,8,0x2DEF,"{""1"":68,""2"":37}",,,,,
36,0x65700,96,40,0x0060,0x0560,48,E,0x000C,"{""0"":24,""1"":18,""2"":6}",,,,,
37,0x71660,80,24,0x0080,0x0580,95,D,0x4294,"{""1"":63,""2"":32}",,,,,
38,0x54AA0,96,24,0x0120,,78,5,0x6B5A,"{""0"":78}",,,,,
39,0x5A540,128,56,0x0140,0x0640,24,4,0x3DCE,"{""0"":12,""1"":6,""2"":6}",,,,,
