rank,source,width,height,selector,refs,selected_index,selected_rgb555,entries,override_index,notes,location,exempt,flatten,exempt_medium,exempt_low,flatten_medium,flatten_low
0,0x5A3E0,64,80,0x00B0,625,8,0x0905,"{""0"":498,""1"":93,""2"":34}",,,trackside grass,,,,,,
1,0x5FFE0,128,56,0x0070,291,8,0x0083,"{""0"":132,""1"":99,""2"":60}",A,transparency,"cliff tops, behind trees as fill",,,,,,
2,0x5F3E0,128,48,0x0090,327,E,0x5B18,"{""0"":279,""1"":48}",,,sideboard type A,,,,,,
3,0x669E0,32,128,0x0070,436,1,0x0021,"{""0"":222,""1"":214}",B,transparency,,Y,,,,,
4,0x5B7E0,128,48,0x0090,270,A,0x4252,"{""0"":227,""1"":43}",,,sideboard type B,,,,,,
5,0x61DE0,64,128,0x0110,164,A,0x24CE,"{""0"":164}",1,,Crowd,Y,,,,,
6,0x47E20,32,48,0x00C0,794,7,0x156C,"{""0"":722,""1"":72}",,,,,,,,,
7,0x62DE0,128,80,0x0150,102,1,0x0484,"{""0"":62,""1"":32,""2"":8}",C,,,,,,,,
8,0x69760,80,64,0x0120,197,E,0x4EF8,"{""0"":99,""1"":98}",A,,mountain,,,Y,,,
9,0x6B560,80,64,0x0120,197,8,0x298C,"{""0"":99,""1"":98}",B,,mountain,,,Y,,,
10,0x68D60,80,64,0x0120,196,8,0x298C,"{""0"":98,""1"":98}",B,,mountain,,,Y,,,
11,0x6AB60,80,64,0x0120,196,1,0x0507,"{""0"":98,""1"":98}",A,,mountain,,,Y,,,
12,0x6A160,80,64,0x0120,192,1,0x0507,"{""0"":96,""1"":96}",A,,mountain,,,Y,,,
13,0x68360,80,64,0x0120,190,8,0x298C,"{""0"":95,""1"":95}",B,transparency,mountain,,,Y,,,
14,0x5E7E0,128,48,0x0080,149,D,0x4694,"{""0"":136,""1"":13}",,,,,Y,,,,
15,0x54BE0,64,32,0x0020,438,D,0x31F0,"{""0"":432,""1"":6}",,,,,,,,,
16,0x661E0,32,128,0x0070,218,1,0x0021,"{""0"":111,""1"":107}",F,transparency,,Y,,,,,
17,0x67B60,64,64,0x00C0,172,6,0x114B,"{""0"":157,""1"":15}",,,,,,,,,
18,0x5C3E0,128,48,0x0080,107,D,0x4694,"{""0"":92,""1"":14,""2"":1}",,,,,,,,,
19,0x591E0,128,32,0x0010,149,7,0x006B,"{""0"":72,""1"":61,""2"":16}",,,billboard alfa romeo,,,Y,,,
20,0x6BF60,80,64,0x0120,116,4,0x14A5,"{""0"":39,""1"":38,""2"":39}",A,,mountain,,,Y,Y,,
21,0x572E0,96,40,0x0060,152,E,0x000C,"{""0"":70,""1"":61,""2"":21}",,,billboard bridgestone,,,,,,
22,0x6C960,80,64,0x0120,111,4,0x14A5,"{""0"":37,""1"":37,""2"":37}",A,,mountain,,,Y,Y,,
23,0x6D360,80,64,0x0120,111,4,0x14A5,"{""0"":37,""1"":37,""2"":37}",A,,mountain,,,Y,Y,,
24,0x5CFE0,128,48,0x0080,86,8,0x31EF,"{""0"":71,""1"":14,""2"":1}",,,,,,,,,
25,0x60DE0,128,64,0x0130,58,1,0x2907,"{""0"":32,""1"":16,""2"":10}",9,,anouncer box,Y,,,,,
26,0x565E0,128,24,0x0030,144,8,0x50C0,"{""0"":66,""1"":62,""2"":16}",,,billboard avex trax,,,Y,,,
27,0x5DBE0,128,48,0x0160,64,4,0x08EC,"{""0"":64}",,transparency,,,,,,,
28,0x705E0,128,24,0x0090,125,F,0x635A,"{""1"":83,""2"":42}",,,,,,,,,
29,0x711E0,64,64,0x0110,91,6,0x30E4,"{""1"":58,""2"":33}",1,,Crowd,Y,,,,,
30,0x589E0,64,64,0x0100,90,B,0x3A55,"{""0"":64,""1"":19,""2"":7}",,,,,Y,,,,
31,0x476A0,32,24,0x00F0,456,3,0x14A5,"{""0"":389,""1"":67}",A,,tranparent barrier,,,,,,
32,0x70BE0,128,24,0x0090,112,A,0x4252,"{""1"":73,""2"":39}",,,,,,,,,
33,0x7B820,128,40,0x00E0,60,C,0x2D8C,"{""2"":60}",9,,,Y,,,,,
34,0x65860,96,24,0x0060,129,6,0x5EF8,"{""0"":64,""1"":53,""2"":12}",,,billboard toyota,,,Y,,,
35,0x74BE0,128,40,0x00E0,57,9,0x2129,"{""1"":57}",,,,,,Y,,,
36,0x755E0,128,40,0x00E0,57,C,0x2D8C,"{""1"":57}",9,,,,,Y,,,
37,0x75FE0,128,40,0x00E0,56,9,0x2129,"{""1"":56}",,,,,,Y,,,
38,0x773E0,128,40,0x00E0,56,C,0x2D8C,"{""1"":56}",9,,,,,Y,,,
39,0x67260,96,24,0x0000,112,E,0x5EF7,"{""0"":50,""1"":50,""2"":12}",,,billboard mobil 1,,,Y,,,
40,0x7D800,40,64,0x0120,99,9,0x31CE,"{""2"":99}",B,transparency,mountain,,,Y,Y,,
41,0x7D300,40,64,0x0120,98,9,0x31CE,"{""2"":98}",B,transparency,mountain,,,Y,Y,,
42,0x557E0,96,24,0x00F0,108,B,0x5AD6,"{""0"":63,""1"":35,""2"":10}",,,billboard prime direction,,,Y,,,
43,0x676E0,96,24,0x00F0,108,C,0x6318,"{""0"":49,""1"":47,""2"":12}",,,billboard opel,,,Y,,,
44,0x55C60,96,24,0x0030,107,E,0x5EF6,"{""0"":54,""1"":45,""2"":8}",,,billboard amg,,,Y,,,
45,0x7CE00,40,64,0x0120,96,1,0x0507,"{""2"":96}",B,transparency,mountain,,,Y,Y,,
46,0x7CA00,32,64,0x0070,106,C,0x0505,"{""2"":106}",,transparency,,Y,,,,,
47,0x581E0,64,64,0x0130,49,1,0x2907,"{""0"":17,""1"":16,""2"":16}",,transparency,grandstand support,,Y,,,,
48,0x48120,64,24,0x00F0,130,5,0x2529,"{""0"":119,""1"":11}",,,,,,,,,
49,0x47820,32,32,0x00D0,193,5,0x00CE,"{""0"":193}",,,,,,,,,
50,0x47A20,32,32,0x00D0,193,F,0x5F5A,"{""0"":193}",,,,,,,,,
51,0x6F2E0,32,24,0x00C0,217,5,0x0D2A,"{""1"":144,""2"":73}",,,,,,,,,
52,0x65CE0,80,32,0x0050,65,C,0x3800,"{""0"":36,""1"":25,""2"":4}",,,billboard michelin,,,Y,,,
53,0x5ADE0,80,64,0x0110,29,1,0x2440,"{""0"":16,""1"":8,""2"":5}",1,,crowd,Y,,,,,
54,0x6F160,32,24,0x00F0,174,3,0x14A5,"{""1"":115,""2"":59}",,,,,,,,,
55,0x54FE0,128,16,0x00F0,64,E,0x739C,"{""0"":64}",,,,,Y,,,,
56,0x4ABE0,128,16,0x00E0,61,E,0x35CE,"{""0"":60,""1"":1}",,,,,,,,,
57,0x4B7E0,128,16,0x00E0,61,B,0x296B,"{""0"":60,""1"":1}",,,,,,,,,
58,0x4BBE0,128,16,0x00E0,61,D,0x31AD,"{""0"":60,""1"":1}",,,,,,,,,
59,0x4BFE0,128,16,0x00E0,61,E,0x35CE,"{""0"":60,""1"":1}",,,,,,,,,
60,0x4C3E0,128,16,0x00E0,61,9,0x2129,"{""0"":60,""1"":1}",,,,,,,,,
61,0x4CFE0,128,16,0x00E0,61,E,0x35CE,"{""0"":60,""1"":1}",,,,,,,,,
62,0x4D3E0,128,16,0x00E0,61,D,0x31AD,"{""0"":60,""1"":1}",,,,,,,,,
63,0x4D7E0,128,16,0x00E0,61,7,0x18E7,"{""0"":60,""1"":1}",,,,,,,,,
64,0x4DBE0,128,16,0x00E0,61,A,0x254A,"{""0"":60,""1"":1}",,,,,,,,,
65,0x4DFE0,128,16,0x00E0,61,C,0x2D8C,"{""0"":60,""1"":1}",,,,,,,,,
66,0x48FE0,128,16,0x00E0,60,8,0x1D08,"{""0"":59,""1"":1}",,,,,,,,,
67,0x493E0,128,16,0x00E0,60,D,0x31AD,"{""0"":59,""1"":1}",,,,,,,,,
68,0x497E0,128,16,0x00E0,60,D,0x31AD,"{""0"":59,""1"":1}",,,,,,,,,
69,0x49BE0,128,16,0x00E0,60,9,0x2129,"{""0"":59,""1"":1}",,,,,,,,,
70,0x4A7E0,128,16,0x00E0,60,C,0x2D8C,"{""0"":59,""1"":1}",,,,,,,,,
71,0x4AFE0,128,16,0x00E0,60,9,0x2129,"{""0"":59,""1"":1}",,,,,,,,,
72,0x4C7E0,128,16,0x00E0,60,A,0x254A,"{""0"":59,""1"":1}",,,,,,,,,
73,0x4E3E0,128,16,0x00E0,60,D,0x31AD,"{""0"":60}",,,,,,,,,
74,0x4E7E0,128,16,0x00E0,60,7,0x18E7,"{""0"":60}",,,,,,,,,
75,0x4F3E0,128,16,0x00E0,60,D,0x31AD,"{""0"":60}",,,,,,,,,
76,0x4F7E0,128,16,0x00E0,60,D,0x31AD,"{""0"":60}",,,,,,,,,
77,0x503E0,128,16,0x00E0,60,9,0x2129,"{""0"":60}",,,,,,,,,
78,0x507E0,128,16,0x00E0,60,C,0x2D8C,"{""0"":60}",,,,,,,,,
79,0x50BE0,128,16,0x00E0,60,C,0x2D8C,"{""0"":60}",,,,,,,,,
80,0x50FE0,128,16,0x00E0,60,9,0x2129,"{""0"":60}",,,,,,,,,
81,0x513E0,128,16,0x00E0,60,9,0x2129,"{""0"":60}",,,,,,,,,
82,0x517E0,128,16,0x00E0,60,D,0x31AD,"{""0"":60}",,,,,,,,,
83,0x553E0,128,16,0x00E0,60,D,0x31AD,"{""0"":59,""1"":1}",,,,,,,,,
84,0x487E0,128,16,0x00E0,59,A,0x254A,"{""0"":58,""1"":1}",,,,,,,,,
85,0x49FE0,128,16,0x00E0,59,9,0x2129,"{""0"":58,""1"":1}",,,,,,,,,
86,0x4EBE0,128,16,0x00E0,59,7,0x18E7,"{""0"":59}",,,,,,,,,
87,0x4FBE0,128,16,0x00E0,59,9,0x2129,"{""0"":59}",,,,,,,,,
88,0x51BE0,128,16,0x00E0,59,D,0x31AD,"{""0"":59}",,,,,,,,,
89,0x527E0,128,16,0x00E0,59,9,0x2129,"{""0"":59}",,,,,,,,,
90,0x52BE0,128,16,0x00E0,59,D,0x31AD,"{""0"":59}",,,,,,,,,
91,0x52FE0,128,16,0x00E0,59,C,0x2D8C,"{""0"":59}",,,,,,,,,
92,0x533E0,128,16,0x00E0,59,8,0x1D08,"{""0"":59}",,,,,,,,,
93,0x53FE0,128,16,0x00E0,59,C,0x2D8C,"{""0"":59}",,,,,,,,,
94,0x51FE0,128,16,0x00E0,58,8,0x1D08,"{""0"":58}",,,,,,,,,
95,0x537E0,128,16,0x00E0,58,9,0x2129,"{""0"":58}",,,,,,,,,
96,0x48420,80,24,0x0080,47,D,0x4694,"{""0"":3,""1"":29,""2"":15}",,,,,,,,,
97,0x57A60,80,48,0x00E0,23,8,0x1D08,"{""0"":20,""1"":2,""2"":1}",,,,,,,,,
98,0x6FA60,80,24,0x0080,44,8,0x31EF,"{""1"":29,""2"":15}",,,,,,,,,
99,0x6FE20,80,24,0x0080,44,D,0x4694,"{""1"":29,""2"":15}",,,,,Y,,,,
100,0x701E0,64,32,0x0160,39,D,0x739C,"{""1"":32,""2"":7}",5,transparency,,,,Y,,,
101,0x599E0,80,64,0x0150,15,5,0x1109,"{""0"":12,""1"":2,""2"":1}",,,,,,,,,
102,0x64960,40,48,0x00A0,32,3,0x08C5,"{""0"":20,""1"":12}",E,,Hill,,,Y,Y,,
103,0x654A0,40,48,0x00A0,32,E,0x2652,"{""0"":20,""1"":12}",D,,Hill,,,Y,Y,,
104,0x6F660,32,32,0x0020,58,E,0x3611,"{""1"":37,""2"":21}",,,,,Y,,,,
105,0x641E0,40,48,0x00A0,30,E,0x2652,"{""0"":19,""1"":11}",E,,Hill,,,Y,Y,,
106,0x645A0,40,48,0x00A0,30,8,0x0D4A,"{""0"":19,""1"":11}",D,,Hill,,,Y,Y,,
107,0x64D20,40,48,0x00A0,30,5,0x08E7,"{""0"":19,""1"":11}",E,,Hill,,,Y,Y,,
108,0x650E0,40,48,0x00A0,30,9,0x0D8C,"{""0"":19,""1"":11}",D,,Hill,,,Y,Y,,
109,0x56BE0,56,64,0x0150,16,4,0x1108,"{""0"":12,""1"":2,""2"":2}",,,,,,,,,
110,0x7A5E0,48,24,0x00C0,45,5,0x0D2A,"{""1"":30,""2"":15}",,,,,,,,,
111,0x6DEA0,32,32,0x0150,40,7,0x218D,"{""0"":16,""1"":16,""2"":8}",,,,,,,,,
112,0x6E8A0,32,64,0x0100,18,3,0x256E,"{""0"":6,""1"":6,""2"":6}",,,,,,,,,
113,0x6F860,64,16,0x00F0,31,5,0x2529,"{""1"":21,""2"":10}",,,,,,,,,
114,0x543E0,64,32,0x00F0,14,2,0x0C63,"{""0"":8,""1"":4,""2"":2}",D,transparency,,,,,,,
115,0x671E0,32,8,0x00D0,112,F,0x5F5A,"{""0"":2,""1"":73,""2"":37}",,,,,,,,,
116,0x547E0,128,16,0x00E0,12,1,0x56D7,"{""0"":12}",,,,,Y,,,,
117,0x6E4A0,128,16,0x00E0,12,7,0x18E7,"{""0"":8,""1"":4}",,,,,,,,,
118,0x475A0,64,8,0x0150,44,D,0x573A,"{""0"":20,""1"":12,""2"":12}",,,,,,,,,
119,0x6F460,32,32,0x0020,21,D,0x31F0,"{""1"":21}",,,,,Y,,,,
120,0x6E0A0,128,16,0x00E0,8,A,0x254A,"{""0"":8}",,,,,,,,,
121,0x7C4C0,24,56,0x00A0,12,8,0x0D4A,"{""2"":12}",E,,Hill,,,Y,Y,,
122,0x7C220,24,56,0x00A0,11,A,0x11AD,"{""2"":11}",D,,Hill,,,Y,Y,,
123,0x7C760,24,56,0x00A0,11,9,0x0D8C,"{""2"":11}",E,,Hill,,,Y,Y,,
124,0x560E0,64,40,0x00F0,4,F,0x7BDE,"{""0"":4}",,,,,,,,,
125,0x6DDE0,16,24,0x0150,20,D,0x573A,"{""0"":8,""1"":8,""2"":4}",,,,,,,,,
126,0x719E0,128,40,0x00E0,1,9,0x2129,"{""1"":1}",,,,,,,,,
127,0x723E0,128,40,0x00E0,1,C,0x2D8C,"{""1"":1}",,,,,,,,,
128,0x72DE0,128,40,0x00E0,1,C,0x2D8C,"{""1"":1}",,,,,,,,,
129,0x737E0,128,40,0x00E0,1,C,0x2D8C,"{""1"":1}",,,,,,,,,
130,0x741E0,128,40,0x00E0,1,C,0x2D8C,"{""1"":1}",,,,,,,,,
131,0x769E0,128,40,0x00E0,1,9,0x2129,"{""1"":1}",,,,,,,,,
132,0x77DE0,128,40,0x00E0,1,C,0x2D8C,"{""1"":1}",,,,,,,,,
133,0x787E0,128,40,0x00E0,1,9,0x2129,"{""1"":1}",,,,,,,,,
134,0x791E0,128,40,0x00E0,1,9,0x2129,"{""1"":1}",,,,,,,,,
135,0x79BE0,128,40,0x00E0,1,9,0x2129,"{""1"":1}",,,,,,,,,
136,0x6F120,16,8,0x00D0,39,F,0x5F5A,"{""1"":39}",,,,,,,,,
137,0x47140,8,8,0x0150,77,4,0x1108,"{""0"":64,""1"":6,""2"":7}",,,,,Y,,,,
138,0x6ECA0,96,24,0x00F0,2,8,0x3DEF,"{""0"":1,""1"":1}",,prime direction,,,Y,,,,
139,0x471A0,16,32,0x0030,8,6,0x48C0,"{""0"":8}",,transparency,,,,,,,
140,0x472A0,16,32,0x0070,8,C,0x0505,"{""0"":8}",,transparency,,,,,,,
141,0x473A0,16,32,0x0010,8,6,0x006A,"{""0"":8}",,transparency,,,,,,,
142,0x474A0,16,32,0x00F0,8,C,0x6318,"{""0"":8}",,transparency,,,,,,,
143,0x47C20,32,32,0x0080,3,5,0x258C,"{""0"":2,""1"":1}",,,,,,,,,
144,0x6DD60,16,16,0x00C0,12,2,0x04C7,"{""0"":8,""1"":4}",,,,,Y,,,,
145,0x48BE0,128,16,0x00E0,1,A,0x254A,"{""0"":1}",,,,,,,,,
146,0x4A3E0,128,16,0x00E0,1,A,0x254A,"{""0"":1}",,,,,,,,,
147,0x4B3E0,128,16,0x00E0,1,9,0x2129,"{""0"":1}",,,,,,,,,
148,0x4CBE0,128,16,0x00E0,1,A,0x254A,"{""0"":1}",,,,,,,,,
149,0x4EFE0,128,16,0x00E0,1,7,0x18E7,"{""0"":1}",,,,,,,,,
150,0x4FFE0,128,16,0x00E0,1,9,0x2129,"{""0"":1}",,,,,,,,,
151,0x523E0,128,16,0x00E0,1,9,0x2129,"{""0"":1}",,,,,,,,,
152,0x53BE0,128,16,0x00E0,1,9,0x2129,"{""0"":1}",,,,,,,,,
153,0x7A820,128,16,0x00E0,1,E,0x35CE,"{""1"":1}",,,,,,,,,
154,0x7AC20,128,16,0x00E0,1,9,0x2129,"{""1"":1}",,,,,,,,,
155,0x7B020,128,16,0x00E0,1,B,0x296B,"{""1"":1}",,,,,,,,,
156,0x7B420,128,16,0x00E0,1,D,0x31AD,"{""1"":1}",,,,,,,,,
157,0x47080,8,8,0x0030,32,6,0x48C0,"{""0"":16,""1"":8,""2"":8}",,,,,Y,,,,
158,0x470A0,8,8,0x0070,32,C,0x0505,"{""0"":16,""1"":8,""2"":8}",,,,,Y,,,,
159,0x470C0,8,8,0x0010,32,6,0x006A,"{""0"":16,""1"":8,""2"":8}",,,,,Y,,,,
160,0x470E0,8,8,0x00F0,32,C,0x6318,"{""0"":16,""1"":8,""2"":8}",,,,,Y,,,,
161,0x47160,8,8,0x0070,10,C,0x0505,"{""0"":8,""1"":1,""2"":1}",,,,,Y,,,,
162,0x47180,8,8,0x0070,8,9,0x00A4,"{""0"":6,""1"":1,""2"":1}",,,,,Y,,,,
163,0x47000,8,8,0x00F0,7,5,0x2529,"{""0"":4,""1"":2,""2"":1}",,,,,Y,,,,
164,0x47040,8,8,0x0030,7,1,0x3880,"{""0"":4,""1"":2,""2"":1}",,,,,Y,,,,
165,0x47100,8,8,0x0010,7,1,0x0025,"{""0"":4,""1"":2,""2"":1}",,,,,Y,,,,
166,0x47020,8,8,0x00F0,6,2,0x0C63,"{""0"":4,""1"":2}",7,,,,,,,,
167,0x47060,8,8,0x0070,6,9,0x00A4,"{""0"":4,""1"":2}",,,,,Y,,,,
168,0x47120,8,8,0x00F0,6,7,0x35AD,"{""0"":4,""1"":2}",,,,,Y,,,,
